pass,N,L_us,W,iters_per_ns,ticks,overruns,overrun_pct,drain_p50,drain_p90,drain_p99,tick_p50,tick_p90,tick_p99,flush_p50,flush_p90,flush_p99,wakes_p50,wakes_p90,wakes_p99,closes,achieved,lat_p50,lat_p90,lat_p99,lag_p99,server_cpu,verdict
2,300,30,64,0.57,662,0,0.00,0.374,0.455,0.683,8.957,9.148,10.726,3.352,3.587,4.272,219,220,220,0,90015,0.025,5.897,8.852,0.004,41,OK
2,300,100,64,0.57,662,1,0.15,0.238,0.270,0.359,30.094,30.648,31.403,0.836,0.919,1.078,25,27,29,0,90017,14.116,27.268,30.190,0.004,96,OK
2,1000,0,64,0.57,662,0,0.00,1.251,1.391,1.593,0.004,0.005,0.008,14.313,14.886,16.005,980,994,999,0,300107,0.021,0.031,0.109,0.009,53,OK
2,1000,10,64,0.57,663,0,0.00,1.077,1.189,1.481,10.034,10.500,11.832,10.093,10.632,13.006,655,671,676,0,300162,0.025,7.310,10.142,0.010,70,OK
2,1000,30,64,0.57,660,4,0.61,0.799,0.909,1.231,30.259,30.994,31.765,1.850,2.151,2.590,4,12,23,0,300069,22.146,46.801,62.733,0.013,102,OK
2,1000,100,64,0.57,189,158,83.60,2.643,2.976,3.896,100.562,101.781,103.476,14.152,14.857,18.584,851,871,878,0,299943,34.569,89.298,100.110,0.009,92,OK
2,3000,0,64,0.57,662,0,0.00,2.323,2.561,2.784,0.013,0.016,0.022,30.302,30.432,30.495,677,712,731,0,900528,0.055,0.084,0.198,0.014,102,OK
2,3000,10,64,0.57,668,5,0.75,1.128,1.554,2.065,30.080,30.694,31.799,1.687,2.244,2.982,2,3,6,0,899976,98.496,176.021,224.244,0.008,102,OK
2,3000,30,64,0.57,205,169,82.44,6.258,7.227,8.365,90.558,91.965,94.763,25.107,25.609,25.748,382,432,444,0,899680,40.212,83.762,90.752,0.008,102,OK
2,3000,100,64,0.57,106,63,59.43,11.117,13.037,13.865,300.483,305.856,311.021,18.536,19.992,21.080,18,125,201,0,898034,154.862,290.449,309.578,0.011,102,OK
2,10000,0,64,0.57,666,0,0.00,8.773,9.222,10.190,0.042,0.050,0.078,21.799,22.305,22.648,37,39,39,0,3000361,18.344,32.579,38.571,0.021,102,OK
2,10000,10,64,0.57,219,167,76.26,14.550,15.651,22.359,99.718,101.662,103.325,17.917,18.944,20.538,15,16,19,0,2999037,184.905,350.008,484.468,0.032,102,OK
2,10000,30,64,0.58,168,101,60.12,2.830,41.400,53.063,45.425,304.352,306.352,2.545,13.300,21.089,1,10,234,8510,987553,999.999+,999.999+,999.999+,,101,VOID
2,10000,100,64,0.57,43,27,62.79,10.985,50.604,60.603,711.899,1000.000+,1000.000+,4.026,14.318,35.253,1,7,20,3180,238922,999.994+,999.994+,999.994+,,102,VOID
2,300,0,512,0.57,662,0,0.00,0.477,0.601,0.953,0.008,0.009,0.025,4.468,4.980,6.535,300,300,301,0,90015,0.023,0.037,0.087,0.004,18,OK
2,300,0,4096,0.57,662,0,0.00,0.528,0.629,0.900,0.046,0.067,0.120,4.454,4.903,5.735,300,301,301,0,90015,0.023,0.036,0.108,0.004,18,OK
2,300,30,512,0.58,662,0,0.00,0.390,0.500,0.710,9.176,9.901,13.053,3.344,3.759,4.780,215,219,220,0,90015,0.026,6.261,9.196,0.002,42,OK
2,300,30,4096,0.57,662,1,0.15,0.437,0.987,3.355,9.117,10.153,19.948,3.315,4.190,10.953,217,220,220,0,90015,0.027,7.102,17.508,1.759,45,OK
2,1000,0,512,0.57,663,0,0.00,1.240,1.646,5.140,0.024,0.032,0.091,14.241,15.907,23.104,983,997,1000,0,300079,0.022,0.045,6.116,1.217,55,OK
2,1000,0,4096,0.57,663,0,0.00,1.481,1.888,8.365,0.166,0.252,1.036,13.982,15.352,22.545,978,992,996,0,300079,0.022,0.048,8.926,1.653,57,OK
